Word,Definitions
YjaA-xqaE,"[[Tamale de Calabaza]], a type of [[tamales]] that are made of [[beans]], [[corn]], and [[squash]], or made with only beans and corn, usually prepared around the days of the [[Christmas]] holiday. There is another known variation of this dish that is white in color on the outside due to being wrapped in [[corn]] [[husk]]s or a [[leaf]] from an unspecified type of tree."
YjanAF,[[year]]
YjoG,A [[squash]] plant
YkaA,[[tree]]
YkaA tiF-ntaK,A [[mantis]]
YkaA-kaA-jweB,[[coffee tree]]
YkaA-keC-kqoC,An unspecified species of [[tree]]
YkaA-ksuC,An [[avocado]] [[tree]]
YkaA-kyaqA,[[wooden]] [[ridgepole]]
YkaA-kytyeC,A [[pine tree]]
YkaA-luqH,An unspecified type of [[palm]] [[tree]] ; A [[coquito]] [[tree]]
YkaA-lwiqH,A [[ricinus]] [[tree]]; a type of tree
YkaA-ndaqB,"[[cuajinicuil]], a type of tree which bears edible fruit"
YkaA-nkyjinB,[[rubber tree]]
YkaA-nqanA,[[horizontal]] [[roof]] [[beam]] ; [[sill]]
YkaA-ntyaI,"A species of [[tree]], possibly the Guachipelin or Honey Locust tree."
YkaA-ntyanqB,[[oakwood]]
YkaA-qanA,[[wooden]] [[pillar]]; [[column]]; [[stake]]; or [[post]]
YkaA-qwaB,A [[banana]] [[tree]]
YkaA-stanqI,A [[hook]] ; A [[branch]]
YkaA-taqC-jnoqE,"[[pumpwood]], a type of [[tropical]] [[tree]]"
YkaA-taqF-tykuE,An unspecified type of [[tree]]
YkaA-tkwaF,A type of [[stick]] or [[rod]] ; A [[staff]]
YkaA-tqwaI,"A [[bolster]] ; A type of [[beam]] to support the [[roof]] of a [[house]], usually placed [[horizontal]]ly"
YkaA-yneG,[[neck]] [[of]]; used to show possession
YkaA-yuA,An unspecified type of [[tree]]
YkaAF-skanA,A staff [[indicative]] or [[symbolic]] of [[authority]] or [[leadership]]
YkanqF,A [[t-shirt]] or [[shirt]]
YkwaF,"[[atole]], a [[beverage]] or thin [[gruel]] made from [[cornflour]] that is usually served hot"
YkwaqA,[[marsh]] ; [[swamp]]
YnaC,[[soot]]
YnaE,"[[copal]], a [[species]] of [[tree]]"
YnaF,A [[corn on the cob]] ; A [[corncob]]
YneG,A [[bunch]] or [[handful]]
YoF,A [[barbecue]]
YqaE,A [[beanstalk]]
YqanE,[[mother]] [[of]]; used to show possession
YquH,A [[feeling]] of [[shame]] or [[embarrassment]]
YqwaF,A [[load]] or [[cargo]]
YqweG,[[wing]] [[of]]; used to show possession
YtsenA,[[vapor]] ; [[steam]]
YuA,[[land]]
YuA kuqF,"A [[summit]], [[top]] ; A (''[[literary]]'') [[zenith]] or [[pinnacle]]"
YuA-ktaC,[[powder]]
YuA-ktsuqB,[[mud]]
YuA-nkqaE,"A type of [[terrain]] that exhibits a [[shade]] of [[red]], possibly a type of [[clay]] that exhibits a [[red]] [[color]]"
YuqC,A [[hummingbird]]
YwaB,"[[mare]], a female horse"
YweqH,A [[curse]] ; A [[hex]]
